,filename,label
0,cholec40/videos/video01/video01-1284.jpg,1
1,cholec40/videos/video01/video01-717.jpg,5
2,cholec40/videos/video01/video01-1530.jpg,3
3,cholec40/videos/video01/video01-351.jpg,4
4,cholec40/videos/video01/video01-600.jpg,5
5,cholec40/videos/video01/video01-547.jpg,1
6,cholec40/videos/video01/video01-1058.jpg,3
7,cholec40/videos/video01/video01-226.jpg,5
8,cholec40/videos/video01/video01-1557.jpg,0
9,cholec40/videos/video01/video01-1283.jpg,0
10,cholec40/videos/video01/video01-416.jpg,0
11,cholec40/videos/video01/video01-1636.jpg,3
12,cholec40/videos/video01/video01-52.jpg,1
13,cholec40/videos/video01/video01-1701.jpg,2
14,cholec40/videos/video01/video01-787.jpg,0
15,cholec40/videos/video01/video01-481.jpg,0
16,cholec40/videos/video01/video01-747.jpg,0
17,cholec40/videos/video01/video01-40.jpg,4
18,cholec40/videos/video01/video01-392.jpg,0
19,cholec40/videos/video01/video01-259.jpg,0
20,cholec40/videos/video01/video01-639.jpg,1
21,cholec40/videos/video01/video01-1151.jpg,3
22,cholec40/videos/video01/video01-1582.jpg,1
23,cholec40/videos/video01/video01-930.jpg,2
24,cholec40/videos/video01/video01-95.jpg,6
25,cholec40/videos/video01/video01-1224.jpg,2
26,cholec40/videos/video01/video01-459.jpg,3
27,cholec40/videos/video01/video01-684.jpg,0
28,cholec40/videos/video01/video01-328.jpg,4
29,cholec40/videos/video01/video01-1551.jpg,3
30,cholec40/videos/video01/video01-1243.jpg,1
31,cholec40/videos/video01/video01-74.jpg,3
32,cholec40/videos/video01/video01-607.jpg,2
33,cholec40/videos/video01/video01-334.jpg,1
34,cholec40/videos/video01/video01-805.jpg,3
35,cholec40/videos/video01/video01-574.jpg,5
36,cholec40/videos/video01/video01-446.jpg,0
37,cholec40/videos/video01/video01-918.jpg,4
38,cholec40/videos/video01/video01-1401.jpg,1
39,cholec40/videos/video01/video01-1005.jpg,4
40,cholec40/videos/video01/video01-166.jpg,5
41,cholec40/videos/video01/video01-648.jpg,4
42,cholec40/videos/video01/video01-662.jpg,4
43,cholec40/videos/video01/video01-851.jpg,5
44,cholec40/videos/video01/video01-1477.jpg,5
45,cholec40/videos/video01/video01-759.jpg,6
46,cholec40/videos/video01/video01-1095.jpg,5
47,cholec40/videos/video01/video01-1647.jpg,4
48,cholec40/videos/video01/video01-100.jpg,2
49,cholec40/videos/video01/video01-1328.jpg,5
50,cholec40/videos/video01/video01-723.jpg,4
51,cholec40/videos/video01/video01-1327.jpg,6
52,cholec40/videos/video01/video01-1400.jpg,6
53,cholec40/videos/video01/video01-828.jpg,6
54,cholec40/videos/video01/video01-321.jpg,0
55,cholec40/videos/video01/video01-660.jpg,5
56,cholec40/videos/video01/video01-57.jpg,3
57,cholec40/videos/video01/video01-538.jpg,5
58,cholec40/videos/video01/video01-1059.jpg,2
59,cholec40/videos/video01/video01-492.jpg,0
60,cholec40/videos/video01/video01-1580.jpg,4
61,cholec40/videos/video01/video01-1644.jpg,6
62,cholec40/videos/video01/video01-867.jpg,3
63,cholec40/videos/video01/video01-1631.jpg,5
64,cholec40/videos/video01/video01-691.jpg,6
65,cholec40/videos/video01/video01-1443.jpg,0
66,cholec40/videos/video01/video01-386.jpg,3
67,cholec40/videos/video01/video01-249.jpg,2
68,cholec40/videos/video01/video01-792.jpg,4
69,cholec40/videos/video01/video01-493.jpg,3
70,cholec40/videos/video01/video01-1534.jpg,3
71,cholec40/videos/video01/video01-1569.jpg,4
72,cholec40/videos/video01/video01-889.jpg,4
73,cholec40/videos/video01/video01-1547.jpg,2
74,cholec40/videos/video01/video01-856.jpg,2
75,cholec40/videos/video01/video01-1490.jpg,4
76,cholec40/videos/video01/video01-665.jpg,2
77,cholec40/videos/video01/video01-313.jpg,2
78,cholec40/videos/video01/video01-270.jpg,2
79,cholec40/videos/video01/video01-582.jpg,5
80,cholec40/videos/video01/video01-939.jpg,4
81,cholec40/videos/video01/video01-1694.jpg,5
82,cholec40/videos/video01/video01-1472.jpg,6
83,cholec40/videos/video01/video01-1123.jpg,5
84,cholec40/videos/video01/video01-1394.jpg,0
85,cholec40/videos/video01/video01-911.jpg,5
86,cholec40/videos/video01/video01-685.jpg,2
87,cholec40/videos/video01/video01-542.jpg,4
88,cholec40/videos/video01/video01-666.jpg,0
89,cholec40/videos/video01/video01-1356.jpg,5
90,cholec40/videos/video01/video01-46.jpg,2
91,cholec40/videos/video01/video01-1318.jpg,3
92,cholec40/videos/video01/video01-316.jpg,6
93,cholec40/videos/video01/video01-696.jpg,1
94,cholec40/videos/video01/video01-1434.jpg,3
95,cholec40/videos/video01/video01-475.jpg,1
96,cholec40/videos/video01/video01-1690.jpg,4
97,cholec40/videos/video01/video01-290.jpg,6
98,cholec40/videos/video01/video01-1499.jpg,4
99,cholec40/videos/video01/video01-817.jpg,3
100,cholec40/videos/video01/video01-404.jpg,5
101,cholec40/videos/video01/video01-539.jpg,6
102,cholec40/videos/video01/video01-41.jpg,5
103,cholec40/videos/video01/video01-1063.jpg,4
104,cholec40/videos/video01/video01-422.jpg,2
105,cholec40/videos/video01/video01-18.jpg,3
106,cholec40/videos/video01/video01-1346.jpg,2
107,cholec40/videos/video01/video01-395.jpg,1
108,cholec40/videos/video01/video01-155.jpg,5
109,cholec40/videos/video01/video01-1266.jpg,6
110,cholec40/videos/video01/video01-1301.jpg,0
111,cholec40/videos/video01/video01-1558.jpg,3
